id,sellers_id,item_id,item_price
1,165,90,8603
2,33,16,3134
3,163,7,3855
4,158,1,3608
5,105,11,6218
6,108,30,2562
7,60,44,7763
8,42,58,5686
9,81,89,8920
10,199,63,6286
11,5,75,8546
12,7,75,1972
13,22,62,4481
14,140,1,1092
15,164,43,6083
16,129,76,1416
17,184,62,5324
18,53,10,2953
19,35,74,9355
20,151,42,4755
21,77,34,1043
22,188,28,3618
23,68,36,7559
24,135,14,9323
25,63,96,8768
26,195,86,6972
27,54,32,5286
28,24,61,5126
29,150,93,5690
30,124,9,6949
31,9,48,6504
32,189,46,8285
33,114,3,3219
34,15,5,3554
35,36,15,7992
36,29,28,3951
37,154,85,8406
38,156,84,5858
39,41,42,7706
40,111,86,2674
41,45,41,8267
42,52,100,1761
43,15,48,1045
44,16,3,9483
45,64,19,8322
46,94,35,6746
47,136,92,2543
48,54,79,7076
49,118,67,3164
50,6,90,7122
51,94,55,8667
52,153,76,8340
53,157,20,7292
54,157,38,1968
55,54,69,6268
56,13,36,4302
57,116,45,9447
58,47,93,6129
59,96,32,1986
60,137,17,4242
61,38,34,8577
62,109,43,9426
63,153,48,2388
64,129,37,7055
65,90,33,6570
66,70,44,3793
67,170,45,7471
68,68,61,1697
69,76,82,7702
70,25,2,2975
71,92,63,2676
72,144,36,9811
73,133,1,5729
74,125,83,4540
75,70,41,8530
76,179,98,5808
77,71,51,1416
78,8,92,1721
79,152,98,1657
80,21,55,5836
81,43,66,8333
82,167,14,7397
83,125,29,5034
84,4,68,8116
85,63,50,7854
86,101,53,7584
87,110,20,8216
88,116,36,9847
89,135,42,1395
90,196,53,8971
91,61,8,4765
92,165,89,6325
93,193,51,1259
94,50,73,8046
95,90,59,6356
96,1,92,2639
97,169,60,8224
98,141,52,6354
99,190,85,9339
100,124,83,2000
101,14,65,7418
102,1,59,6934
103,172,97,8724
104,174,53,9727
105,185,27,9620
106,146,86,5000
107,70,84,8075
108,153,42,9214
109,161,59,6512
110,148,49,6421
111,81,80,8740
112,52,92,9088
113,193,53,1103
114,175,4,6218
115,151,44,5083
116,124,3,9263
117,3,26,5731
118,81,17,8010
119,163,18,8137
120,160,23,1118
121,72,87,6770
122,200,25,9639
123,28,17,1599
124,92,92,3621
125,147,50,1881
126,57,98,2942
127,88,39,9674
128,103,53,5491
129,200,65,7814
130,140,16,4737
131,163,28,6780
132,127,47,1024
133,192,19,4789
134,91,63,7949
135,186,40,7152
136,26,3,4071
137,87,69,9837
138,148,87,6669
139,108,93,6100
140,49,3,2116
141,90,76,6657
142,25,77,1871
143,83,93,7828
144,143,19,9016
145,76,8,7451
146,105,76,7758
147,55,50,9123
148,23,89,5198
149,146,49,2180
150,145,62,4925
151,1,83,2010
152,150,66,4246
153,187,71,5007
154,25,76,7590
155,78,1,9721
156,48,98,3773
157,178,18,1295
158,111,54,6151
159,53,49,6199
160,65,45,7193
161,124,79,3521
162,78,21,5615
163,60,45,3704
164,78,40,2276
165,116,59,3082
166,120,86,5356
167,115,40,1590
168,142,19,5099
169,102,98,4930
170,178,44,7193
171,109,51,8308
172,198,19,6863
173,186,35,6624
174,191,10,7995
175,165,64,8294
176,16,61,5626
177,150,43,1739
178,127,17,1973
179,84,48,5423
180,34,96,8363
181,161,46,7679
182,181,14,4993
183,110,10,5827
184,113,63,3108
185,23,39,5854
186,4,92,6531
187,64,55,8540
188,82,1,9347
189,158,4,9902
190,63,50,4926
191,167,12,3323
192,171,89,9233
193,189,83,4896
194,199,36,6825
195,159,64,4610
196,127,30,5339
197,67,68,6661
198,161,52,5922
199,195,53,2483
200,125,57,6930
