id,customer_id,item_id,seller_id,good_id,seller_raiting,payment_type,bonus,date
1,37,35,182,176,4,in installments,18,2024-01-14
2,84,9,100,76,1,in installments,34,2024-01-08
3,178,13,50,115,3,cashless payment,3,2024-01-09
4,413,76,89,38,1,cash payment,39,2024-01-06
5,335,38,153,97,4,cashless payment,44,2024-01-16
6,105,8,63,144,5,in installments,21,2024-01-21
7,683,21,38,136,4,cash payment,45,2024-01-21
8,222,54,63,22,3,cashless payment,41,2024-01-24
9,801,61,86,101,4,cash payment,0,2024-01-26
10,191,51,123,2,3,cash payment,36,2024-01-26
11,332,82,152,75,3,cash payment,16,2024-01-28
12,621,29,175,162,4,cash payment,45,2024-01-13
13,166,95,157,12,3,in installments,45,2024-01-13
14,266,81,13,16,5,cash payment,20,2024-01-18
15,802,13,161,160,4,cash payment,2,2024-01-12
16,467,72,2,34,3,cash payment,10,2024-01-19
17,520,61,89,75,3,cashless payment,12,2024-01-04
18,931,52,165,47,5,in installments,40,2024-01-01
19,494,61,175,30,2,in installments,20,2024-01-07
20,433,63,52,156,1,cash payment,15,2024-01-27
21,652,68,16,134,5,cash payment,38,2024-01-02
22,975,68,172,4,1,cash payment,30,2024-01-12
23,870,32,32,171,1,in installments,30,2024-01-09
24,540,50,66,155,3,cashless payment,32,2024-01-12
25,374,28,127,41,4,cash payment,2,2024-01-29
26,580,21,84,74,2,cash payment,39,2024-01-04
27,142,91,115,42,5,in installments,34,2024-01-12
28,839,49,60,37,1,in installments,39,2024-01-13
29,801,75,148,95,2,in installments,11,2024-01-01
30,987,64,136,31,2,cashless payment,7,2024-01-30
31,210,25,103,3,5,cash payment,11,2024-01-24
32,872,12,140,151,2,cash payment,50,2024-01-11
33,776,95,177,101,5,cash payment,9,2024-01-29
34,479,92,50,168,3,cashless payment,21,2024-01-01
35,671,36,85,129,5,in installments,7,2024-01-19
36,758,17,172,119,4,cash payment,47,2024-01-23
37,667,89,133,189,3,cash payment,7,2024-01-17
38,560,58,37,69,3,cashless payment,30,2024-01-27
39,353,98,94,11,3,in installments,15,2024-01-10
40,194,23,159,158,4,in installments,7,2024-01-29
41,440,41,114,147,5,cashless payment,29,2024-01-16
42,418,80,113,34,1,cashless payment,11,2024-01-18
43,377,32,132,47,2,cash payment,16,2024-01-08
44,771,25,196,39,3,cashless payment,32,2024-01-01
45,995,88,39,96,1,in installments,31,2024-01-04
46,942,53,44,161,5,in installments,44,2024-01-29
47,675,90,190,142,2,cash payment,8,2024-01-04
48,35,20,104,96,2,in installments,39,2024-01-22
49,144,63,162,93,3,in installments,43,2024-01-17
50,684,40,149,128,1,cashless payment,23,2024-01-09
51,67,48,30,30,1,in installments,26,2024-01-12
52,680,96,18,147,1,in installments,49,2024-01-04
